Run,BioProject,Sample
SRR1735255,PRJNA257197,SRS804033
SRR1735253,PRJNA257197,SRS804034
SRR1735252,PRJNA257197,SRS804032
SRR1735246,PRJNA257197,SRS804027
SRR1735247,PRJNA257197,SRS804026
SRR1735250,PRJNA257197,SRS804029
SRR1735249,PRJNA257197,SRS804030
SRR1735248,PRJNA257197,SRS804028
SRR1735244,PRJNA257197,SRS804024
SRR1735243,PRJNA257197,SRS804022
SRR1735245,PRJNA257197,SRS804025
SRR1735241,PRJNA257197,SRS804021
SRR1735242,PRJNA257197,SRS804023
SRR1735236,PRJNA257197,SRS804016
SRR1735240,PRJNA257197,SRS804020
SRR1735237,PRJNA257197,SRS804017
SRR1735238,PRJNA257197,SRS804018
SRR1735239,PRJNA257197,SRS804019
SRR1735231,PRJNA257197,SRS804011
SRR1735232,PRJNA257197,SRS804012
SRR1735233,PRJNA257197,SRS804013
SRR1735234,PRJNA257197,SRS804014
SRR1735235,PRJNA257197,SRS804015
SRR1735230,PRJNA257197,SRS804010
SRR1735229,PRJNA257197,SRS804009
SRR1735228,PRJNA257197,SRS804008
SRR1735226,PRJNA257197,SRS804007
SRR1735227,PRJNA257197,SRS804006
SRR1735223,PRJNA257197,SRS804003
SRR1735222,PRJNA257197,SRS804001
SRR1735221,PRJNA257197,SRS804002
SRR1735224,PRJNA257197,SRS804004
SRR1735225,PRJNA257197,SRS804005
SRR1735218,PRJNA257197,SRS803998
SRR1735217,PRJNA257197,SRS803997
SRR1735216,PRJNA257197,SRS803995
SRR1735220,PRJNA257197,SRS804000
SRR1735219,PRJNA257197,SRS803999
SRR1735215,PRJNA257197,SRS803996
SRR1735214,PRJNA257197,SRS803994
SRR1735212,PRJNA257197,SRS803991
SRR1735211,PRJNA257197,SRS803993
SRR1735213,PRJNA257197,SRS803992
SRR1735207,PRJNA257197,SRS803986
SRR1735209,PRJNA257197,SRS803989
SRR1735208,PRJNA257197,SRS803988
SRR1735210,PRJNA257197,SRS803990
SRR1735206,PRJNA257197,SRS803985
SRR1735201,PRJNA257197,SRS803981
SRR1735202,PRJNA257197,SRS803982
SRR1735203,PRJNA257197,SRS803983
SRR1735204,PRJNA257197,SRS803984
SRR1735205,PRJNA257197,SRS803987
SRR1735197,PRJNA257197,SRS803977
SRR1735196,PRJNA257197,SRS803976
SRR1735199,PRJNA257197,SRS803980
SRR1735198,PRJNA257197,SRS803978
SRR1735200,PRJNA257197,SRS803979
SRR1735191,PRJNA257197,SRS803971
SRR1735194,PRJNA257197,SRS803972
SRR1735192,PRJNA257197,SRS803973
SRR1735195,PRJNA257197,SRS803975
SRR1735193,PRJNA257197,SRS803974
SRR1735186,PRJNA257197,SRS803966
SRR1735188,PRJNA257197,SRS803968
SRR1735187,PRJNA257197,SRS803967
SRR1735190,PRJNA257197,SRS803970
SRR1735189,PRJNA257197,SRS803969
SRR1735185,PRJNA257197,SRS803965
SRR1735184,PRJNA257197,SRS803964
SRR1735181,PRJNA257197,SRS803961
SRR1735183,PRJNA257197,SRS803963
SRR1735182,PRJNA257197,SRS803962
SRR1735179,PRJNA257197,SRS803957
